"angle relative to rotation stage (degrees) (0 is max with no sample, 180 would block laser beam) - Plot 0"	Lock-in Signal Amplitude (V) - Plot 0
85.9996	0.000407817
85.7496	0.000403883
85.4996	0.00040281
85.2496	0.000406506
84.9996	0.000402333
84.7496	0.000404241
84.4996	0.000405313
84.2496	0.000404241
83.9996	0.000408174
83.7496	0.000409724
83.4996	0.000414612
83.2496	0.000416161
82.9996	0.000418903
82.7496	0.000416042
82.4996	0.000415685
82.2496	0.000417592
81.9996	0.000419857
81.7496	0.000420691
81.4996	0.000420811
81.2496	0.000424745
80.9996	0.000426175
80.7496	0.000429394
80.4996	0.00043142
80.2497	0.000430467
79.9997	0.000438334
79.7497	0.000443103
79.4997	0.000448586
79.2497	0.000450613
78.9997	0.000448348
78.7497	0.000442149
78.4997	0.000444295
78.2497	0.000442745
77.9997	0.000444176
77.7497	0.000447633
77.4997	0.000452401
77.2498	0.000460031
77	0.000463964
76.7503	0.000473263
76.4997	0.000481131
76.2497	0.000490669
75.9997	0.000496153
75.7497	0.000498537
75.4997	0.000505928
75.2497	0.000503425
74.9997	0.000507358
74.7497	0.000505093
74.4997	0.000513081
74.2497	0.000526432
73.9997	0.000539664
73.7497	0.00055683
73.4997	0.000566844
73.2497	0.000569824
72.9997	0.000575785
72.7497	0.000588778
72.501	0.000593904
72.2497	0.000604514
71.9997	0.000610474
71.7497	0.000608686
71.4997	0.000622276
71.2497	0.000634197
70.9997	0.000647072
70.7497	0.000646476
70.4997	0.000648264
70.2497	0.000654463
69.9997	0.000668649
69.7497	0.000692014
69.4997	0.000701193
69.2497	0.000716094
68.9997	0.000731949
68.7497	0.000752334
68.4997	0.000768546
68.2497	0.000783328
67.9997	0.000792984
67.7497	0.000821594
67.4998	0.000849728
67.2498	0.000861172
66.9998	0.000868324
66.7498	0.000869755
66.4998	0.000887517
66.2498	0.000903133
65.9998	0.000907067
65.7498	0.000916842
65.4998	0.000931505
65.2501	0.000965122
64.9998	0.000993617
64.7498	0.00101877
64.4998	0.00102497
64.2498	0.00101269
63.9998	0.000992425
63.7498	0.000994094
63.4998	0.00103856
63.2498	0.00104559
62.9998	0.00106693
62.7498	0.0010742
62.4998	0.00107158
62.2498	0.00105787
61.9998	0.00106693
61.7498	0.00108398
61.4998	0.00110281
61.2498	0.00111104
60.9998	0.00110222
60.7498	0.00106097
60.4998	0.00103379
60.2498	0.00104607
59.9998	0.00107373
59.7498	0.00108672
59.4998	0.00108392
59.2498	0.00106163
58.9998	0.00104708
58.7498	0.00106186
58.4998	0.00109214
58.2498	0.00109214
57.9998	0.00109214
57.7498	0.00104982
57.4998	0.00104541
57.2498	0.00103665
56.9998	0.00104082
56.7498	0.00105245
56.4998	0.00104744
56.2498	0.00102658
55.9998	0.000991233
55.7498	0.0009715
55.4998	0.000965241
55.2498	0.000952009
54.9999	0.000952367
54.7499	0.000952069
54.4999	0.000963215
54.2499	0.000944737
53.9999	0.000915471
53.7499	0.000873867
53.4999	0.000836615
53.2499	0.000824098
52.9999	0.000827674
52.7499	0.000835363
52.4999	0.000815097
52.2499	0.000772063
